FuncName,FcCreateVM,StdDev,NewContainer,StdDev,NewTask,StdDev,TaskStart,StdDev,TaskWait,StdDev,Total,StdDev
helloworld,979746,NaN,508639,NaN,273885,NaN,39981,NaN,47,NaN,1802298,NaN
helloworld,990238,NaN,765047,NaN,264999,NaN,35699,NaN,107,NaN,2056090,NaN
helloworld,974468,NaN,354225,NaN,289560,NaN,10413,NaN,94,NaN,1628760,NaN
helloworld,986220,NaN,1034516,NaN,170821,NaN,9777,NaN,123,NaN,2201457,NaN
helloworld,982199,NaN,909634,NaN,244061,NaN,12459,NaN,108,NaN,2148461,NaN
helloworld,1085595,NaN,1070445,NaN,199316,NaN,14972,NaN,110,NaN,2370438,NaN
helloworld,993680,37931.6,688805,309533.2,241711,45008.6,24540,13652.6,100,22.9,1948837,293571.5
helloworld,958496,NaN,245157,NaN,228052,NaN,48168,NaN,66,NaN,1479939,NaN
helloworld,986822,NaN,795887,NaN,206447,NaN,7670,NaN,105,NaN,1996931,NaN
helloworld,1057727,NaN,1034397,NaN,187326,NaN,10234,NaN,94,NaN,2289778,NaN
helloworld,982794,NaN,505134,NaN,216291,NaN,22261,NaN,71,NaN,1726551,NaN
helloworld,1085609,NaN,1123049,NaN,186736,NaN,8611,NaN,103,NaN,2404108,NaN
helloworld,987254,NaN,932085,NaN,181822,NaN,8158,NaN,101,NaN,2109420,NaN
helloworld,977573,NaN,359217,NaN,218668,NaN,25408,NaN,94,NaN,1580960,NaN
helloworld,983330,NaN,666029,NaN,272961,NaN,12660,NaN,70,NaN,1935050,NaN
helloworld,1002450,44318.4,707619,319715.8,212287,29820.3,17896,13957.1,88,16.3,1940342,328597.7
helloworld,963406,NaN,235858,NaN,282179,NaN,11574,NaN,66,NaN,1493083,NaN
helloworld,967574,NaN,797446,NaN,175849,NaN,8536,NaN,75,NaN,1949480,NaN
helloworld,968407,NaN,927680,NaN,208365,NaN,47323,NaN,87,NaN,2151862,NaN
helloworld,968829,NaN,661686,NaN,213201,NaN,45918,NaN,99,NaN,1889733,NaN
helloworld,955826,NaN,377390,NaN,215058,NaN,38647,NaN,92,NaN,1587013,NaN
helloworld,983625,NaN,1177463,NaN,200986,NaN,9119,NaN,119,NaN,2371312,NaN
helloworld,966393,NaN,1062037,NaN,178733,NaN,9196,NaN,113,NaN,2216472,NaN
helloworld,968038,NaN,517078,NaN,201500,NaN,16125,NaN,96,NaN,1702837,NaN
helloworld,967762,7714.7,719579,332037.5,209483,32827.7,23304,17448.6,93,17.8,1920224,313373.6
