FuncName,FcCreateVM,StdDev,NewContainer,StdDev,NewTask,StdDev,TaskStart,StdDev,TaskWait,StdDev,Total,StdDev
helloworld,980834,NaN,6373626,NaN,221606,NaN,52098,NaN,64,NaN,7628228,NaN
helloworld,1081420,NaN,6724833,NaN,181459,NaN,20114,NaN,107,NaN,8007933,NaN
helloworld,984407,NaN,6511793,NaN,209546,NaN,8867,NaN,102,NaN,7714715,NaN
helloworld,985063,NaN,6651250,NaN,200039,NaN,9615,NaN,105,NaN,7846072,NaN
helloworld,1007931,49027.9,6565375,155392.1,203162,16948.1,22673,20277.2,94,20.4,7799237,165464.6
helloworld,981036,NaN,6874245,NaN,181727,NaN,9396,NaN,104,NaN,8046508,NaN
helloworld,980135,NaN,6739681,NaN,199445,NaN,47780,NaN,164,NaN,7967205,NaN
helloworld,976717,NaN,6608976,NaN,270260,NaN,9144,NaN,103,NaN,7865200,NaN
helloworld,984533,NaN,7005154,NaN,175651,NaN,8685,NaN,100,NaN,8174123,NaN
helloworld,980605,3212.1,6807014,170814.0,206770,43513.1,18751,19354.7,117,30.9,8013259,130416.2
helloworld,975631,NaN,6870543,NaN,200396,NaN,15389,NaN,104,NaN,8062063,NaN
helloworld,973073,NaN,7005146,NaN,177783,NaN,8387,NaN,111,NaN,8164500,NaN
helloworld,972426,NaN,6734911,NaN,194065,NaN,9058,NaN,82,NaN,7910542,NaN
helloworld,971893,NaN,6589644,NaN,206304,NaN,20537,NaN,117,NaN,7788495,NaN
helloworld,973255,1655.4,6800061,178463.3,194637,12297.3,13342,5740.6,103,15.3,7981400,165595.2
helloworld,970415,NaN,6455802,NaN,181212,NaN,8189,NaN,94,NaN,7615712,NaN
helloworld,952163,NaN,6207156,NaN,193479,NaN,31454,NaN,104,NaN,7384356,NaN
helloworld,970962,NaN,6324956,NaN,192372,NaN,11981,NaN,122,NaN,7500393,NaN
helloworld,970978,NaN,6596391,NaN,174503,NaN,8225,NaN,64,NaN,7750161,NaN
helloworld,966129,9314.7,6396076,167771.8,185391,9131.7,14962,11137.5,96,24.3,7562655,156674.4
helloworld,932396,NaN,6523875,NaN,208705,NaN,21469,NaN,113,NaN,7686558,NaN
helloworld,933109,NaN,6672892,NaN,201192,NaN,54462,NaN,74,NaN,7861729,NaN
helloworld,937285,NaN,6803443,NaN,181836,NaN,8116,NaN,105,NaN,7930785,NaN
helloworld,962520,NaN,6905454,NaN,182059,NaN,8116,NaN,115,NaN,8058264,NaN
helloworld,941327,14291.9,6726416,165202.3,193448,13629.5,23040,21872.8,101,19.0,7884334,154957.7
helloworld,967003,NaN,6469039,NaN,215093,NaN,11590,NaN,88,NaN,7662813,NaN
helloworld,978556,NaN,6752641,NaN,177070,NaN,8691,NaN,103,NaN,7917061,NaN
helloworld,966876,NaN,6336936,NaN,195037,NaN,13716,NaN,118,NaN,7512683,NaN
helloworld,978157,NaN,6614181,NaN,170025,NaN,8845,NaN,57,NaN,7771265,NaN
helloworld,972648,6593.8,6543199,179767.0,189306,20160.1,10710,2405.9,91,26.1,7715955,170925.3
helloworld,946407,NaN,6651131,NaN,226900,NaN,28215,NaN,93,NaN,7852746,NaN
helloworld,963264,NaN,6928777,NaN,183300,NaN,8971,NaN,178,NaN,8084490,NaN
helloworld,958556,NaN,6769988,NaN,221854,NaN,9550,NaN,71,NaN,7960019,NaN
helloworld,942731,NaN,6521145,NaN,269582,NaN,9680,NaN,108,NaN,7743246,NaN
helloworld,952739,9744.5,6717760,173544.3,225409,35304.8,14104,9412.4,112,46.2,7910125,146097.6
helloworld,974771,NaN,6698717,NaN,175525,NaN,8345,NaN,122,NaN,7857480,NaN
helloworld,965526,NaN,6324301,NaN,261398,NaN,13782,NaN,95,NaN,7565102,NaN
helloworld,967327,NaN,6586311,NaN,194126,NaN,7881,NaN,113,NaN,7755758,NaN
helloworld,965077,NaN,6451749,NaN,189423,NaN,40590,NaN,117,NaN,7646956,NaN
helloworld,968175,4503.4,6515269,162484.6,205118,38342.1,17649,15526.6,111,11.8,7706324,127488.7
helloworld,1086692,NaN,6848846,NaN,179329,NaN,14341,NaN,85,NaN,8129293,NaN
helloworld,989909,NaN,6820757,NaN,174824,NaN,8768,NaN,90,NaN,7994348,NaN
helloworld,987100,NaN,6622498,NaN,205736,NaN,31679,NaN,125,NaN,7847138,NaN
helloworld,986535,NaN,6486731,NaN,229108,NaN,8338,NaN,178,NaN,7710890,NaN
helloworld,1012559,49444.0,6694708,171382.2,197249,25239.1,15781,10945.3,119,42.9,7920417,181076.7
helloworld,987679,NaN,6507508,NaN,181388,NaN,8947,NaN,96,NaN,7685618,NaN
helloworld,986253,NaN,6388470,NaN,214465,NaN,8638,NaN,90,NaN,7597916,NaN
helloworld,979703,NaN,6267415,NaN,252933,NaN,8711,NaN,98,NaN,7508860,NaN
helloworld,976902,NaN,6139238,NaN,262987,NaN,28103,NaN,106,NaN,7407336,NaN
helloworld,982634,5163.8,6325657,158281.9,227943,37423.7,13599,9669.7,97,6.6,7549932,119350.6
