FuncName,FcCreateVM,StdDev,NewContainer,StdDev,NewTask,StdDev,TaskStart,StdDev,TaskWait,StdDev,Total,StdDev
helloworld,936851,NaN,6027364,NaN,236167,NaN,17430,NaN,102,NaN,7217914,NaN
helloworld,938702,NaN,6175454,NaN,213206,NaN,29943,NaN,94,NaN,7357399,NaN
helloworld,948791,NaN,6449214,NaN,177982,NaN,8049,NaN,65,NaN,7584101,NaN
helloworld,944823,NaN,6329636,NaN,227069,NaN,7832,NaN,89,NaN,7509449,NaN
helloworld,942291,5511.7,6245417,183546.5,213606,25557.0,15813,10428.3,87,15.9,7417215,162948.8
helloworld,980221,NaN,6290406,NaN,213259,NaN,9139,NaN,55,NaN,7493080,NaN
helloworld,978000,NaN,6160475,NaN,260119,NaN,10545,NaN,92,NaN,7409231,NaN
helloworld,981242,NaN,6408381,NaN,181760,NaN,15021,NaN,101,NaN,7586505,NaN
helloworld,978022,NaN,6025226,NaN,268145,NaN,35674,NaN,120,NaN,7307187,NaN
helloworld,979371,1625.1,6221122,165246.8,230820,40689.3,17594,12311.0,92,27.3,7449000,119084.2
helloworld,964989,NaN,6429702,NaN,174090,NaN,9525,NaN,148,NaN,7578454,NaN
helloworld,962520,NaN,6311256,NaN,199721,NaN,7679,NaN,98,NaN,7481274,NaN
helloworld,955392,NaN,6058404,NaN,265913,NaN,30586,NaN,104,NaN,7310399,NaN
helloworld,956319,NaN,6181628,NaN,259191,NaN,8466,NaN,65,NaN,7405669,NaN
helloworld,959805,4685.9,6245247,160560.0,224728,44994.3,14064,11040.6,103,34.1,7443949,113703.9
helloworld,934578,NaN,6630215,NaN,186514,NaN,11812,NaN,95,NaN,7763214,NaN
helloworld,925259,NaN,6240729,NaN,200693,NaN,17233,NaN,88,NaN,7384002,NaN
helloworld,935543,NaN,6506713,NaN,216398,NaN,8244,NaN,115,NaN,7667013,NaN
helloworld,932682,NaN,6381123,NaN,252528,NaN,9368,NaN,133,NaN,7575834,NaN
helloworld,932015,4658.5,6439695,167140.1,214033,28417.8,11664,4000.2,107,20.4,7597515,161600.3
helloworld,975162,NaN,6437622,NaN,181285,NaN,8166,NaN,190,NaN,7602425,NaN
helloworld,972330,NaN,6172462,NaN,266144,NaN,10695,NaN,113,NaN,7421744,NaN
helloworld,975977,NaN,6557063,NaN,182538,NaN,8318,NaN,103,NaN,7723999,NaN
helloworld,972474,NaN,6309451,NaN,251924,NaN,10473,NaN,94,NaN,7544416,NaN
helloworld,973985,1859.7,6369149,165579.6,220472,44906.5,9413,1356.6,125,44.0,7573146,125647.5
helloworld,978299,NaN,6567194,NaN,178494,NaN,8118,NaN,99,NaN,7732204,NaN
helloworld,965120,NaN,6308046,NaN,198058,NaN,33645,NaN,86,NaN,7504955,NaN
helloworld,942546,NaN,6203383,NaN,258749,NaN,9793,NaN,108,NaN,7414579,NaN
helloworld,973416,NaN,6429995,NaN,197657,NaN,8220,NaN,114,NaN,7609402,NaN
helloworld,964845,15830.3,6377154,156928.5,208239,34888.7,14944,12490.9,101,12.2,7565285,136821.4
helloworld,1057079,NaN,6453577,NaN,179370,NaN,8421,NaN,85,NaN,7698532,NaN
helloworld,958839,NaN,6275325,NaN,205994,NaN,30714,NaN,109,NaN,7470981,NaN
helloworld,1061151,NaN,6584695,NaN,197885,NaN,8759,NaN,82,NaN,7852572,NaN
helloworld,962931,NaN,6412615,NaN,276436,NaN,11342,NaN,96,NaN,7663420,NaN
helloworld,1010000,56762.1,6431553,127414.5,214921,42496.6,14809,10683.3,93,12.2,7671376,156834.2
helloworld,1053486,NaN,6203151,NaN,183129,NaN,9616,NaN,100,NaN,7449482,NaN
helloworld,952495,NaN,6167813,NaN,204142,NaN,59046,NaN,58,NaN,7383554,NaN
helloworld,1056281,NaN,6334656,NaN,172314,NaN,8642,NaN,107,NaN,7572000,NaN
helloworld,951783,NaN,6031105,NaN,270269,NaN,11586,NaN,180,NaN,7264923,NaN
helloworld,1003511,59331.3,6184181,124770.1,207463,43906.0,22222,24579.5,111,50.7,7417489,128225.3
helloworld,1079054,NaN,6491940,NaN,187053,NaN,7963,NaN,110,NaN,7766120,NaN
helloworld,973101,NaN,6455838,NaN,183684,NaN,8359,NaN,105,NaN,7621087,NaN
helloworld,957557,NaN,6212242,NaN,264041,NaN,9622,NaN,111,NaN,7443573,NaN
helloworld,968178,NaN,6331224,NaN,273824,NaN,10770,NaN,98,NaN,7584094,NaN
helloworld,994472,56759.5,6372811,127275.4,227150,48430.3,9178,1275.2,106,5.9,7603718,132548.9
helloworld,981820,NaN,6317805,NaN,201553,NaN,45333,NaN,91,NaN,7546602,NaN
helloworld,987049,NaN,6436247,NaN,192495,NaN,8319,NaN,58,NaN,7624168,NaN
helloworld,982871,NaN,6186391,NaN,259978,NaN,8783,NaN,97,NaN,7438120,NaN
helloworld,988741,NaN,6563527,NaN,185236,NaN,9293,NaN,104,NaN,7746901,NaN
helloworld,985120,3305.6,6375992,161383.9,209815,34101.3,17932,18271.7,87,20.4,7588947,130040.8
