FuncName,FcCreateVM,StdDev,NewContainer,StdDev,NewTask,StdDev,TaskStart,StdDev,TaskWait,StdDev,Total,StdDev
helloworld,953372,NaN,3638350,NaN,189572,NaN,8761,NaN,56,NaN,4790111,NaN
helloworld,976527,NaN,3755148,NaN,177935,NaN,8618,NaN,102,NaN,4918330,NaN
helloworld,952472,NaN,3502069,NaN,204427,NaN,9391,NaN,91,NaN,4668450,NaN
helloworld,952567,NaN,3379282,NaN,191740,NaN,12318,NaN,112,NaN,4536019,NaN
helloworld,958734,11868.5,3568712,163230.8,190918,10855.7,9772,1730.2,90,24.4,4728227,163794.6
helloworld,939182,NaN,3713315,NaN,181977,NaN,9825,NaN,105,NaN,4844404,NaN
helloworld,953290,NaN,3603502,NaN,200020,NaN,8558,NaN,133,NaN,4765503,NaN
helloworld,936256,NaN,3485374,NaN,212107,NaN,8733,NaN,54,NaN,4642524,NaN
helloworld,934729,NaN,3367762,NaN,254117,NaN,11650,NaN,193,NaN,4568451,NaN
helloworld,940864,8487.4,3542488,149103.7,212055,30652.6,9691,1420.9,121,57.9,4705220,123346.1
helloworld,977905,NaN,3657431,NaN,240006,NaN,8217,NaN,188,NaN,4883747,NaN
helloworld,978486,NaN,3480860,NaN,219069,NaN,27753,NaN,71,NaN,4706239,NaN
helloworld,973891,NaN,3351780,NaN,224798,NaN,54899,NaN,89,NaN,4605457,NaN
helloworld,981856,NaN,3762160,NaN,203337,NaN,7869,NaN,88,NaN,4955310,NaN
helloworld,978034,3265.6,3563057,182521.9,221802,15152.4,24684,22183.1,109,53.3,4787688,160381.4
helloworld,951793,NaN,3334564,NaN,205836,NaN,48852,NaN,111,NaN,4541156,NaN
helloworld,954641,NaN,3623924,NaN,203165,NaN,10256,NaN,103,NaN,4792089,NaN
helloworld,956654,NaN,3755495,NaN,177710,NaN,9784,NaN,105,NaN,4899748,NaN
helloworld,949213,NaN,3463323,NaN,227114,NaN,9241,NaN,124,NaN,4649015,NaN
helloworld,953075,3256.8,3544326,183929.1,203456,20234.5,19533,19550.2,110,9.5,4720502,157616.8
helloworld,923031,NaN,3638513,NaN,186589,NaN,8070,NaN,172,NaN,4756375,NaN
helloworld,921333,NaN,3345927,NaN,219490,NaN,53220,NaN,198,NaN,4540168,NaN
helloworld,921551,NaN,3491339,NaN,203253,NaN,12585,NaN,100,NaN,4628828,NaN
helloworld,938833,NaN,3749180,NaN,194699,NaN,8170,NaN,72,NaN,4890954,NaN
helloworld,926187,8464.3,3556239,175535.7,201007,14075.2,20511,21907.2,135,59.2,4704081,152956.1
helloworld,935528,NaN,3794704,NaN,180927,NaN,7992,NaN,63,NaN,4919214,NaN
helloworld,934224,NaN,3528187,NaN,191006,NaN,8627,NaN,105,NaN,4662149,NaN
helloworld,933342,NaN,3367770,NaN,225054,NaN,27883,NaN,111,NaN,4554160,NaN
helloworld,934410,NaN,3666111,NaN,177690,NaN,14403,NaN,122,NaN,4792736,NaN
helloworld,934376,898.2,3589193,183394.9,193669,21677.9,14726,9233.2,100,25.8,4732064,158371.0
helloworld,973646,NaN,3723554,NaN,178224,NaN,8535,NaN,88,NaN,4884047,NaN
helloworld,970084,NaN,3467110,NaN,253425,NaN,11503,NaN,107,NaN,4702229,NaN
helloworld,973341,NaN,3598630,NaN,187968,NaN,9967,NaN,71,NaN,4769977,NaN
helloworld,970498,NaN,3336320,NaN,213992,NaN,45784,NaN,110,NaN,4566704,NaN
helloworld,971892,1860.8,3531403,166965.5,208402,33598.5,18947,17932.2,94,18.2,4730739,132618.8
helloworld,946701,NaN,3351341,NaN,199905,NaN,24616,NaN,97,NaN,4522660,NaN
helloworld,952822,NaN,3791384,NaN,191137,NaN,8673,NaN,92,NaN,4944108,NaN
helloworld,948633,NaN,3621290,NaN,190604,NaN,7913,NaN,121,NaN,4768561,NaN
helloworld,947388,NaN,3479401,NaN,208970,NaN,10571,NaN,119,NaN,4646449,NaN
helloworld,948886,2743.1,3560854,189144.5,197654,8665.9,12943,7861.7,107,14.9,4720444,179754.1
helloworld,960728,NaN,3333270,NaN,262485,NaN,11098,NaN,74,NaN,4567655,NaN
helloworld,961535,NaN,3459483,NaN,191721,NaN,30634,NaN,118,NaN,4643491,NaN
helloworld,968746,NaN,3712610,NaN,198953,NaN,9095,NaN,106,NaN,4889510,NaN
helloworld,968389,NaN,3589594,NaN,182636,NaN,8327,NaN,98,NaN,4749044,NaN
helloworld,964849,4308.3,3523739,163723.8,208948,36309.8,14788,10628.1,99,18.6,4712425,139535.3
helloworld,977003,NaN,3624462,NaN,202954,NaN,8505,NaN,94,NaN,4813018,NaN
helloworld,971845,NaN,3359002,NaN,188668,NaN,19396,NaN,55,NaN,4538966,NaN
helloworld,975302,NaN,3486314,NaN,199425,NaN,29113,NaN,63,NaN,4690217,NaN
helloworld,981245,NaN,3747739,NaN,192218,NaN,8337,NaN,140,NaN,4929679,NaN
helloworld,976348,3906.4,3554379,168428.8,195816,6532.4,16337,9965.3,88,38.5,4742970,167498.7
