Timestamp,user,system,iowait,Total CPU,iostat read (MB/s),iostat write (MB/s)
08:16,0.12,0.09,0.59,0.8,0.84,3.66
08:17,14.2,3.94,8.54,26.69,129.69,0.29
08:18,1.39,0.67,2.83,4.89,159.29,4.06
08:19,1.88,0.75,1.31,3.94,68.01,0.0
08:20,1.87,1.44,0.5,3.81,24.4,3.07
08:21,0.58,1.0,1.75,3.34,0.15,58.68
08:22,0.5,0.42,5.26,6.17,0.08,172.16
08:23,6.73,2.64,0.27,9.65,0.01,17.76
08:24,8.25,2.43,0.15,10.83,0.0,14.45
08:25,6.93,2.96,1.93,11.82,0.0,65.29
08:26,6.57,1.89,0.0,8.46,0.0,0.0
08:27,6.51,1.89,0.04,8.44,0.0,4.5
08:28,5.63,1.65,1.33,8.61,1.04,138.09
08:29,5.88,1.6,0.0,7.48,0.0,0.01
08:30,3.3,0.81,1.57,5.68,0.0,137.09
08:31,2.57,1.27,1.16,5.0,0.0,97.61
08:32,2.56,0.67,3.46,6.69,0.0,139.47
08:33,1.36,1.06,3.86,6.29,0.0,111.6
08:34,0.42,0.46,6.79,7.67,0.0,171.99
08:35,1.73,1.04,0.19,2.96,0.12,6.74
08:36,2.5,0.46,0.0,2.96,0.0,0.0
08:37,2.56,0.38,0.0,2.94,0.0,0.0
08:38,2.46,0.48,0.0,2.94,0.0,0.01
08:39,3.35,0.77,0.02,4.14,1.05,0.0
08:40,2.69,2.13,0.42,5.24,0.0,4.6
08:41,0.48,0.35,10.18,11.02,0.0,200.17
08:42,0.42,0.25,10.26,10.93,0.0,197.45
08:43,0.48,0.81,4.84,6.14,0.0,149.74
08:44,1.32,1.32,0.42,3.05,1.52,14.97
08:45,1.46,0.96,0.9,3.31,56.81,0.87
08:46,2.4,1.29,0.1,3.79,12.56,1.37
