Timestamp,iotop read (MB/s),iotop write (MB/s)
21:12:30,0.93,0.93
21:12:30,11.34,263.85
21:12:31,0.0,146.17
21:12:31,0.0,243.42
21:12:31,0.0,248.55
21:12:31,0.0,133.95
21:12:31,0.0,238.94
21:12:31,0.0,193.1
21:12:31,0.0,185.75
21:12:31,0.0,183.28
21:12:32,0.0,186.14
21:12:32,0.0,244.57
21:12:32,0.0,186.39
21:12:32,0.0,182.54
21:12:32,0.0,186.15
21:12:32,1.9,43.81
21:12:32,8.25,3.09
21:12:32,22.5,15.95
21:12:33,10.52,6.81
21:12:33,0.06,91.64
21:12:33,11.06,68.69
21:12:33,13.31,16.44
21:12:33,8.53,2.77
21:12:33,86.9,0.0
21:12:33,92.6,0.0
21:12:34,65.16,0.0
21:12:34,79.73,0.0
21:12:34,29.98,0.0
21:12:34,0.0,0.0
21:12:34,26.4,0.0
21:12:34,40.35,0.12
21:12:34,13.37,0.0
21:12:34,17.42,0.0
21:12:35,24.76,0.0
21:12:35,19.39,0.21
21:12:35,13.66,11.1
21:12:35,43.45,0.0
21:12:35,30.27,0.0
21:12:35,0.0,0.0
21:12:35,0.0,0.0
21:12:36,0.0,0.0
21:12:36,0.0,0.0
21:12:36,0.0,0.0
21:12:36,0.0,0.0
21:12:36,0.0,0.0
21:12:36,0.03,79.85
21:12:36,0.0,201.01
21:12:36,0.0,236.68
21:12:37,0.0,179.64
21:12:37,0.0,180.43
21:12:37,0.0,91.52
21:12:37,0.0,0.0
21:12:37,0.0,0.0
21:12:37,0.0,0.0
21:12:37,0.0,0.0
21:12:38,0.0,8.97
21:12:38,0.0,0.0
21:12:38,0.0,0.0
21:12:38,0.0,0.0
21:12:38,0.0,0.0
21:12:38,0.0,0.0
21:12:38,0.0,0.03
21:12:38,0.0,0.0
21:12:39,0.0,0.0
21:12:39,0.0,0.0
21:12:39,0.0,0.0
21:12:39,0.0,0.03
21:12:39,0.0,0.0
21:12:39,4.72,0.09
21:12:39,0.0,0.0
21:12:40,0.0,0.0
21:12:40,0.85,0.0
21:12:40,0.0,0.0
21:12:40,0.0,1.79
21:12:40,0.0,0.0
21:12:40,0.0,0.0
21:12:40,0.0,0.0
21:12:40,0.0,1.68
21:12:41,24.49,9.93
21:12:41,41.46,0.0
